InventoryID,StoreID,Date,UserID,TimeStamp,UserIDLastUpdated,TimeStampLastUpdated,FinishedFlag
450,5,12/8/2016 0:00,57,12/7/2016 18:25,66,12/8/2016 0:04,1
451,16,12/8/2016 0:00,42,12/7/2016 22:31,42,12/11/2016 9:30,1
452,7,12/8/2016 0:00,23,12/8/2016 7:22,23,12/8/2016 11:26,1
453,15,12/8/2016 0:00,62,12/8/2016 7:46,62,12/8/2016 7:53,1
454,4,12/8/2016 0:00,34,12/8/2016 8:11,34,12/8/2016 8:11,1
455,18,12/8/2016 0:00,32,12/8/2016 8:16,32,12/8/2016 8:17,1
456,15,12/7/2016 0:00,62,12/8/2016 8:45,62,12/8/2016 8:49,1
457,9,12/8/2016 0:00,46,12/8/2016 12:40,46,12/8/2016 12:46,1
458,6,12/8/2016 0:00,18,12/8/2016 16:11,18,12/12/2016 21:05,1
459,19,12/8/2016 0:00,78,12/8/2016 16:46,78,12/8/2016 16:47,1
460,13,12/9/2016 0:00,49,12/8/2016 20:53,48,12/9/2016 13:50,1
461,5,12/9/2016 0:00,57,12/8/2016 23:02,57,12/8/2016 23:02,0
462,18,12/9/2016 0:00,32,12/9/2016 7:18,32,12/9/2016 7:19,1
463,9,12/9/2016 0:00,46,12/9/2016 8:02,46,12/9/2016 8:07,1
464,4,12/9/2016 0:00,34,12/9/2016 8:08,34,12/9/2016 8:10,1
